   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   4.4173945e+01	  -4.2143477e+01	   1.7483149e+02	   3.9894753e+00	   3.7112171e-01	   1.6416090e+01	   3.4754245e+01	   3.4000000e-01	   5.5257693e+00	   1.7843157e+02	
   4.4174639e+01	  -4.2146453e+01	   1.7483200e+02	   3.3496146e+00	   3.3029509e-01	   1.6441063e+01	   3.4734191e+01	   3.3321933e-01	   5.3056467e+00	   1.7824217e+02	
   4.4175333e+01	  -4.2149429e+01	   1.7483200e+02	   2.5892796e+00	   2.7809865e-01	   1.6450434e+01	   3.4715485e+01	   3.1980684e-01	   5.2202110e+00	   1.7861910e+02	
   4.4176028e+01	  -4.2152405e+01	   1.7483200e+02	   2.2055844e+00	   2.3280723e-01	   1.6465342e+01	   3.4769855e+01	   3.1300000e-01	   4.8862508e+00	   1.7844550e+02	
   4.4176722e+01	  -4.2155382e+01	   1.7483200e+02	   2.0097836e+00	   2.0375744e-01	   1.6431619e+01	   3.4794947e+01	   3.1300000e-01	   4.7337645e+00	   1.7833026e+02	
   4.4177417e+01	  -4.2158358e+01	   1.7483200e+02	   2.2204542e+00	   2.5654970e-01	   1.6453267e+01	   3.4772496e+01	   3.1300000e-01	   5.1447540e+00	   1.7869052e+02	
   4.4178111e+01	  -4.2161334e+01	   1.7483244e+02	   1.7854869e+00	   2.0332037e-01	   1.6459411e+01	   3.4759221e+01	   3.1300000e-01	   5.1748544e+00	   1.7755498e+02	
   4.4178806e+01	  -4.2163873e+01	   1.7483300e+02	   1.5159001e+00	   1.8017543e-01	   1.6414545e+01	   3.4771412e+01	   3.0120871e-01	   5.3490789e+00	   1.7776869e+02	
   4.4179500e+01	  -4.2166286e+01	   1.7483300e+02	   1.5650776e+00	   1.7518671e-01	   1.6453991e+01	   3.4760414e+01	   2.9757724e-01	   5.5959316e+00	   1.7951402e+02	
   4.4180195e+01	  -4.2169263e+01	   1.7483300e+02	   2.0799069e+00	   2.1723417e-01	   1.6471663e+01	   3.4738675e+01	   3.1847094e-01	   5.6180418e+00	   1.7892625e+02	
