   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.1958171e+01	   2.6604403e+01	  -5.8788597e+01	   2.0559462e+00	   1.8073621e-01	   2.4377782e+01	   3.7135844e+01	   7.9420995e+01	   1.2115967e+01	   4.7232781e+01	             NaN	
   8.1972500e+01	   2.6649535e+01	  -5.8731697e+01	   2.2867691e+00	   2.3999198e-01	   2.4415082e+01	   3.7169639e+01	   8.0521300e+01	   1.1806258e+01	   4.8474850e+01	             NaN	
   8.1986829e+01	   2.6693802e+01	  -5.8672797e+01	   2.3744601e+00	   2.2317719e-01	   2.4394618e+01	   3.7153358e+01	   7.9540637e+01	   1.1910000e+01	   4.8079151e+01	             NaN	
   8.2001204e+01	   2.6739202e+01	  -5.8615697e+01	   2.4788284e+00	   2.3632051e-01	   2.4422272e+01	   3.7155679e+01	   8.0500000e+01	   1.1936969e+01	   4.2777702e+01	             NaN	
   8.2015579e+01	   2.6786602e+01	  -5.8561597e+01	   2.4507618e+00	   2.3937144e-01	   2.3765855e+01	   3.6952939e+01	   8.0698985e+01	   1.1958162e+01	   4.1681116e+01	             NaN	
   8.2029954e+01	   2.6834002e+01	  -5.8509998e+01	   2.6369318e+00	   2.5398637e-01	   2.3630349e+01	   3.6944500e+01	   8.0499403e+01	   1.1979920e+01	   4.1250696e+01	             NaN	
   8.2044282e+01	   2.6883269e+01	  -5.8458597e+01	   2.4215052e+00	   2.1586842e-01	   2.3592651e+01	   3.6943599e+01	   8.0679112e+01	   1.1848657e+01	   4.1386568e+01	             NaN	
   8.2058611e+01	   2.6932303e+01	  -5.8406465e+01	   2.6199892e+00	   2.7140459e-01	   2.3539037e+01	   3.6939063e+01	   8.2307053e+01	   1.1800705e+01	   4.1946474e+01	             NaN	
   8.2073032e+01	   2.6982603e+01	  -5.8353931e+01	   2.4985408e+00	   2.2479278e-01	   2.3526289e+01	   3.6929812e+01	   8.0080858e+01	   1.1798772e+01	   4.1274001e+01	             NaN	
   8.2087338e+01	   2.7034403e+01	  -5.8299597e+01	   2.5782333e+00	   2.4752736e-01	   2.3877876e+01	   3.7074344e+01	   8.0598631e+01	   1.1870000e+01	   4.4953698e+01	             NaN	
   8.2101667e+01	   2.7086535e+01	  -5.8243465e+01	   2.3790445e+00	   2.3550474e-01	   2.4253952e+01	   3.7167142e+01	   7.9139457e+01	   1.1934433e+01	   4.5085943e+01	             NaN	
   8.2116065e+01	   2.7138002e+01	  -5.8185497e+01	   2.4566417e+00	   2.1916780e-01	   2.4301543e+01	   3.7161449e+01	   8.0700876e+01	   1.2035009e+01	   4.4451490e+01	             NaN	
   8.2130370e+01	   2.7186303e+01	  -5.8127798e+01	   2.3181024e+00	   2.0629512e-01	   2.3973567e+01	   3.7037325e+01	   7.9060520e+01	   1.1823113e+01	   4.4457921e+01	             NaN	
   8.2144699e+01	   2.7233468e+01	  -5.8070797e+01	   2.5616635e+00	   2.1405559e-01	   2.3539991e+01	   3.6953287e+01	   7.9880998e+01	   1.1878733e+01	   4.3579750e+01	             NaN	
   8.2159051e+01	   2.7278802e+01	  -5.8014798e+01	   2.3973943e+00	   2.3345034e-01	   2.3451582e+01	   3.6947101e+01	   7.8400000e+01	   1.1868016e+01	   4.4281778e+01	             NaN	
   8.2173403e+01	   2.7324135e+01	  -5.7959865e+01	   2.3957279e+00	   2.1535674e-01	   2.3458273e+01	   3.6996474e+01	   7.9839277e+01	   1.1639446e+01	   4.3453976e+01	             NaN	
   8.2191042e+01	   2.7380402e+01	  -5.7896065e+01	   2.3735899e+00	   2.5193749e-01	   2.3540780e+01	   3.6967780e+01	   8.0640234e+01	   1.1704440e+01	   4.4894660e+01	             NaN	
   8.2234815e+01	   2.7528502e+01	  -5.7738999e+01	   2.3597260e+00	   1.5645063e-01	   2.3616389e+01	   3.6996101e+01	   7.9300426e+01	   1.1809929e+01	   4.4701136e+01	             NaN	
   8.2249167e+01	   2.7577335e+01	  -5.7687665e+01	   2.3909252e+00	   2.0471575e-01	   2.3569570e+01	   3.7004900e+01	   7.8349789e+01	   1.1959916e+01	   4.4733053e+01	             NaN	
   8.2263588e+01	   2.7625868e+01	  -5.7637132e+01	   2.4588411e+00	   2.3001400e-01	   2.3677348e+01	   3.7059973e+01	   7.9039603e+01	   1.1889340e+01	   4.8373598e+01	             NaN	
   8.2277940e+01	   2.7670802e+01	  -5.7583198e+01	   2.5051281e+00	   2.0154942e-01	   2.3616255e+01	   3.6999279e+01	   7.8220772e+01	   1.1919936e+01	   4.7800965e+01	             NaN	
   8.2292292e+01	   2.7715802e+01	  -5.7530198e+01	   2.3407304e+00	   1.9955625e-01	   2.3637633e+01	   3.7059332e+01	   7.9000000e+01	   1.1915847e+01	   4.7328645e+01	             NaN	
   8.2306620e+01	   2.7761702e+01	  -5.7477298e+01	   2.4892103e+00	   2.0016686e-01	   2.3546199e+01	   3.7017381e+01	   7.8700000e+01	   1.1803976e+01	   4.8080120e+01	             NaN	
   8.2320972e+01	   2.7806134e+01	  -5.7423298e+01	   2.5762297e+00	   2.3229344e-01	   2.3572615e+01	   3.6911207e+01	   7.8400000e+01	   1.1864913e+01	   4.7286551e+01	             NaN	
   8.2335347e+01	   2.7852534e+01	  -5.7368198e+01	   2.3066495e+00	   1.8610459e-01	   2.3604949e+01	   3.7083575e+01	   7.8700000e+01	   1.1767328e+01	   4.7460338e+01	             NaN	
   8.2349676e+01	   2.7898801e+01	  -5.7313298e+01	   2.1949494e+00	   1.8808894e-01	   2.3616680e+01	   3.7123769e+01	   7.8459666e+01	   1.1865028e+01	   4.6980111e+01	             NaN	
   8.2364028e+01	   2.7946134e+01	  -5.7257866e+01	   2.2526916e+00	   1.9166102e-01	   2.3525612e+01	   3.7082299e+01	   7.8659688e+01	   1.1812391e+01	   4.7040312e+01	             NaN	
   8.2378426e+01	   2.7993601e+01	  -5.7202399e+01	   2.7513072e+00	   2.3541561e-01	   2.3573722e+01	   3.7090369e+01	   7.9780295e+01	   1.1853005e+01	   4.7200000e+01	             NaN	
   8.2392778e+01	   2.8040934e+01	  -5.7148066e+01	   2.3556449e+00	   1.9965503e-01	   2.3561427e+01	   3.7045227e+01	   7.8980292e+01	   1.1943759e+01	   4.7500000e+01	             NaN	
   8.2407153e+01	   2.8089334e+01	  -5.7093666e+01	   2.4523462e+00	   1.9150844e-01	   2.3523800e+01	   3.7016860e+01	   8.0100141e+01	   1.1926784e+01	   4.7699718e+01	             NaN	
   8.2421481e+01	   2.8136901e+01	  -5.7040099e+01	   2.5815389e+00	   2.2846198e-01	   2.3529890e+01	   3.7020449e+01	   8.0709871e+01	   1.1790000e+01	   4.6770388e+01	             NaN	
   8.2435833e+01	   2.8183934e+01	  -5.6986099e+01	   2.4788924e+00	   2.0860868e-01	   2.3415676e+01	   3.7014562e+01	   8.2660494e+01	   1.1705926e+01	   4.7383539e+01	             NaN	
   8.2494676e+01	   2.8372401e+01	  -5.6770899e+01	   2.9077873e+00	   2.0777598e-01	   2.3550952e+01	   3.7076261e+01	   7.9210097e+01	   1.1923062e+01	   4.7259610e+01	             NaN	
   8.2509005e+01	   2.8419667e+01	  -5.6717999e+01	   2.1787325e+00	   2.2446878e-01	   2.3545332e+01	   3.7094200e+01	   7.8900190e+01	   1.1843384e+01	   4.7400095e+01	             NaN	
   8.2523333e+01	   2.8467901e+01	  -5.6665099e+01	   2.2168883e+00	   2.2881636e-01	   2.3503155e+01	   3.7113437e+01	   7.6823127e+01	   1.1850000e+01	   4.5516519e+01	             NaN	
