   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   1.7739612e+02	   4.0268977e+01	  -6.1104685e+01	   4.7994541e-01	   5.1313121e-02	   2.2456448e+01	   3.4829305e+01	   8.5165410e-01	   6.3577602e+00	   8.8205506e+01	
   1.7739680e+02	   4.0269287e+01	  -6.1100196e+01	   4.4175935e-01	   4.9870646e-02	   2.2440026e+01	   3.4821591e+01	   8.5878685e-01	   6.4310898e+00	   8.8327054e+01	
   1.7739750e+02	   4.0269598e+01	  -6.1095620e+01	   4.8204637e-01	   5.2326212e-02	   2.2422898e+01	   3.4815277e+01	   8.6062290e-01	   6.4572860e+00	   8.7775286e+01	
   1.7741655e+02	   4.0279459e+01	  -6.0970764e+01	   3.9371785e-01	   4.6354598e-02	   2.2907073e+01	   3.4880471e+01	   8.4453009e-01	   6.3174150e+00	   8.6419584e+01	
   1.7741724e+02	   4.0279847e+01	  -6.0966303e+01	   4.2944937e-01	   4.9136568e-02	   2.2877977e+01	   3.4874765e+01	   8.4584001e-01	   6.2981124e+00	   8.5827823e+01	
   1.7741794e+02	   4.0280236e+01	  -6.0961813e+01	   4.0997793e-01	   4.9027705e-02	   2.2851057e+01	   3.4858044e+01	   8.4453015e-01	   6.3678995e+00	   8.7128838e+01	
   1.7741863e+02	   4.0280602e+01	  -6.0957335e+01	   4.0221696e-01	   4.9450648e-02	   2.2828146e+01	   3.4802442e+01	   8.4337000e-01	   6.3361301e+00	   8.6371016e+01	
   1.7741933e+02	   4.0280996e+01	  -6.0952809e+01	   3.7332173e-01	   5.1290644e-02	   2.2816397e+01	   3.4746842e+01	   8.4337000e-01	   6.4150390e+00	   8.6584485e+01	
   1.7742002e+02	   4.0281375e+01	  -6.0948284e+01	   4.4093508e-01	   4.7778626e-02	   2.2815633e+01	   3.4712515e+01	   8.4337000e-01	   6.4275044e+00	   8.7204141e+01	
   1.7742072e+02	   4.0281724e+01	  -6.0943770e+01	   3.3544759e-01	   4.5643669e-02	   2.2827422e+01	   3.4705709e+01	   8.4337000e-01	   6.3989245e+00	   8.7436075e+01	
   1.7742141e+02	   4.0282073e+01	  -6.0939283e+01	   3.5970975e-01	   5.0485427e-02	   2.2853149e+01	   3.4651654e+01	   8.4090006e-01	   6.3939920e+00	   8.6003065e+01	
   1.7742210e+02	   4.0282468e+01	  -6.0934827e+01	   3.6303342e-01	   5.3095994e-02	   2.2887977e+01	   3.4601984e+01	   8.3644662e-01	   6.3764908e+00	   8.7137218e+01	
